icao,iata,name,city,country,lat,lon,elevation_ft
AGAF,AFT,Afutara Aerodrome,Bila,SB,-9.191389,160.948611,23
AGAR,RNA,Ulawa Airport,Arona,SB,-9.860543583,161.9795465,40
AGAT,ATD,Uru Harbour Airport,Atoifi,SB,-8.87333,161.011002,0
AGBA,VEV,Barakoma Airport,Barakoma,SB,-7.912779808,156.7059937,0
AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,SB,-8.562027778,158.1193056,24
AGEV,GEF,Geva Airport,Liangia,SB,-7.575829983,156.5970001,0
AGGA,AKS,Gwaunaru'u Airport,Auki,SB,-8.70257,160.682007,5
AGGB,BNY,Bellona/Anua Airport,Anua,SB,-11.30222222,159.7983333,60
AGGC,CHY,Choiseul Bay Airport,Choiseul Bay,SB,-6.711944,156.396111,0
AGGE,BAS,Ballalae Airport,Ballalae,SB,-6.990745,155.886656,5
AGGF,FRE,Fera/Maringe Airport,Fera Island,SB,-8.1075,159.576996,0
AGGH,HIR,Honiara International Airport,Honiara,SB,-9.428,160.054993,28
AGGI,MBU,Babanakira Airport,Mbambanakira,SB,-9.7475,159.839005,0
AGGJ,AVU,Avu Avu Airport,Avu Avu,SB,-9.868333,160.410556,25
AGGK,IRA,Ngorangora Airport,Kirakira,SB,-10.44970036,161.897995,54
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,-10.7203,165.794998,18
AGGM,MUA,Munda Airport,Munda,SB,-8.32797,157.263,10
AGGN,GZO,Nusatupe Airport,Gizo,SB,-8.097780228,156.8639984,13
AGGO,MNY,Mono Airport,Stirling Island,SB,-7.416940212,155.5650024,0
AGGP,PRS,Parasi Airport,Parasi,SB,-9.641670227,161.4250031,0
AGGR,RNL,Rennell/Tingoa Airport,Rennell Island,SB,-11.55,160.062778,0
AGGS,EGM,Sege Airport,Sege,SB,-8.57889,157.876007,0
AGGT,NNB,Santa Ana Airport,Santa Ana Island,SB,-10.847994,162.454108,3
AGGU,RUS,Marau Airport,Marau,SB,-9.86166954,160.8249969,0
AGGV,VAO,Suavanao Airport,Suavanao,SB,-7.58556,158.731003,0
AGGY,XYA,Yandina Airport,Yandina,SB,-9.092816,159.21841,60
AGKG,KGE,Kaghau Airport,Kagau Island,SB,-7.3305,157.585,30
AGKU,KUE,Kukudu Airport,Kolombangara Island,SB,-8.0262,156.94783,32
AGKW,KWS,Kwailabesi Airport,Kwailabesi,SB,-8.360508,160.775127,52
AGNA,NAZ,Nana Airport,Star Harbor,SB,-10.6758,162.2049,60
AGOK,GTA,Gatokae Aerodrome,Gatokae,SB,-8.738358,158.202836,70
AGRC,RIN,Ringi Cove Airport,Ringi Cove,SB,-8.126390457,157.1430054,0
AGRM,RBV,Ramata Airport,Ramata,SB,-8.168060303,157.6430054,0
AGTI,TLG,Tulaghi Heliport,Tulaghi Island,SB,-9.108,160.1491667,3
ANYN,INU,Nauru International Airport,Yaren District,NR,-0.547458,166.919006,22
AYAA,AMF,Ama Airport,,PG,-4.101111111,141.67,145
AYAE,UAE,Mount Aue Airport,,PG,-6.234166667,144.6647222,4250
AYAF,AFR,Afore Airstrip,Afore,PG,-9.13867,148.390701,2500
AYAG,AUP,Agaun Airport,,PG,-9.930833,149.385667,3200
AYAI,ATP,Aitape Airport,Aitape,PG,-3.143611,142.346806,10
AYAK,AIH,Aiambak Airport,Aiambak,PG,-7.342777778,141.2675,90
AYAM,AMU,Amanab Airport,Amanab,PG,-3.586,141.2143333,1307
AYAN,ADC,Andakombe Airport,Andekombe,PG,-7.137222222,145.7447222,3600
AYAO,AIE,Aiome Airport,Aiome,PG,-5.145699978,144.7307003,350
AYAQ,KPM,Kompiam Airport,,PG,-5.381666667,143.9247222,5100
AYAT,AUJ,Ambunti Airport,Ambunti,PG,-4.215666667,142.8231667,50
AYAW,AWB,Awaba Airport,Awaba,PG,-8.013414,142.752099,32
AYAX,AEK,Aseki Airport,Aseki,PG,-7.350805,146.193994,4106
